source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-19089;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-19090;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-19091;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Teeth;20;;;;;ZC-19421;;part of gum with 20 teeth;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-21573;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-21574;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Jaw;;1649;;;;ZC-21807;;date unsure;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Jaw;;;;;;ZC-21814;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Teeth;2;;;;;ZC-25169;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-25171;;mishaped;
Oxford Museum of Natural History (NMHO);email;NMHO;Phocoena;phocoena;Harbor porpoise;Teeth;;;;;;ZC-19107;;skull with jaw, teeth in pot;
Oxford Museum of Natural History (NMHO);email;NMHO;Phocoena;phocoena;Harbor porpoise;Teeth;;;;;;ZC-19122;;skull with jaw;
Oxford Museum of Natural History (NMHO);email;NMHO;Phocoena;phocoena;Harbor porpoise;Teeth;;1872;;;;ZC-19126;;skull with jaw and part of skeleton, contains teeth;
Oxford Museum of Natural History (NMHO);email;NMHO;Phocoena;phocoena;Harbor porpoise;Skeleton;;;;;;ZC-23524;;mounted articulated skeleton on display, unsure if it contains teeth;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;jaw with teeth;;1950;recent;;United Kingdom;C 1950.9.19.1;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1977;recent;;United Kingdom;1979.1627000000001;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1936;recent;;United Kingdom;1979.1626000000001;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1926;recent;;United Kingdom;1979.1624999999999;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1922;recent;;United Kingdom;1979.1623;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1922;recent;;United Kingdom;1979.1621;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1918;recent;;United Kingdom;1979.1617000000001;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1916;recent;;United Kingdom;1979.1587;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1916;recent;;United Kingdom;1979.1586;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1927;recent;;United Kingdom;1979.1542999999999;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1912;recent;;United Kingdom;ZD 1992.263;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1914;recent;;United Kingdom;1979.1445000000001;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1914;recent;;United Kingdom;1979.145;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1914;recent;;United Kingdom;1979.1452999999999;NA;NA;
National Museum of Natural History, London;database;NHM;Phocoena;phocoena;Harbor porpoise;NA;;1914;recent;;United Kingdom;1979.1442;NA;NA;
